CenterID | Location                   | Latitude | Longitude | Capacity | Status
701      | Pune                       | 18.5204  | 73.8567   | 300      | Active
702      | Pimpri-Chinchwad           | 18.6298  | 73.7997   | 250      | Active
703      | Chakan                     | 18.7606  | 73.8636   | 400      | Active
704      | Talegaon                   | 18.7353  | 73.6756   | 200      | Active
705      | Hinjewadi                  | 18.5913  | 73.7389   | 250      | Active
706      | Hadapsar                   | 18.5089  | 73.9260   | 200      | Active
707      | Kharadi                    | 18.5510  | 73.9348   | 250      | Active
708      | Wagholi                    | 18.5820  | 73.9797   | 200      | Active
709      | Daund                      | 18.4659  | 74.5814   | 150      | Active
710      | Baramati                   | 18.1517  | 74.5777   | 150      | Active

711      | Mumbai                     | 19.0760  | 72.8777   | 600      | Active
712      | Navi Mumbai                | 19.0330  | 73.0297   | 500      | Active
713      | Thane                      | 19.2183  | 72.9781   | 450      | Active
714      | Bhiwandi                   | 19.2813  | 73.0483   | 550      | Active
715      | Kalyan                     | 19.2403  | 73.1305   | 300      | Active
716      | Vasai                      | 19.3919  | 72.8397   | 250      | Active
717      | Panvel                     | 18.9894  | 73.1175   | 300      | Active
718      | Alibag                     | 18.6411  | 72.8722   | 150      | Active
719      | Palghar                    | 19.6969  | 72.7654   | 180      | Active
720      | Boisar                     | 19.8010  | 72.7560   | 200      | Active

721      | Nashik                     | 19.9975  | 73.7898   | 350      | Active
722      | Sinnar                     | 19.8453  | 73.9986   | 250      | Active
723      | Malegaon                   | 20.5579  | 74.5089   | 200      | Active
724      | Dhule                      | 20.9042  | 74.7749   | 200      | Active
725      | Jalgaon                    | 21.0077  | 75.5626   | 220      | Active
726      | Ahilyanagar                | 19.0948  | 74.7480   | 200      | Active
727      | Shirdi                     | 19.7669  | 74.4775   | 150      | Active
728      | Nandurbar                  | 21.3667  | 74.2400   | 120      | Active
729      | Sangamner                  | 19.5678  | 74.2111   | 150      | Active
730      | Manmad                     | 20.2530  | 74.4378   | 150      | Active

731      | Chhatrapati Sambhaji Nagar | 19.8762  | 75.3433   | 300      | Active
732      | Jalna                      | 19.8347  | 75.8800   | 200      | Active
733      | Nanded                     | 19.1383  | 77.3210   | 220      | Active
734      | Latur                      | 18.4088  | 76.5604   | 200      | Active
735      | Beed                       | 18.9891  | 75.7601   | 150      | Active
736      | Parbhani                   | 19.2608  | 76.7760   | 150      | Active
737      | Dharashiv                  | 18.1860  | 76.0419   | 120      | Active
738      | Hingoli                    | 19.7192  | 77.1485   | 120      | Active
739      | Akola                      | 20.7002  | 77.0082   | 200      | Active
740      | Washim                     | 20.1110  | 77.1310   | 120      | Active

741      | Nagpur                     | 21.1458  | 79.0882   | 450      | Active
742      | Wardha                     | 20.7453  | 78.6022   | 200      | Active
743      | Amravati                   | 20.9374  | 77.7796   | 250      | Active
744      | Yavatmal                   | 20.3899  | 78.1307   | 150      | Active
745      | Bhandara                   | 21.1700  | 79.6500   | 150      | Active
746      | Gondia                     | 21.4624  | 80.2210   | 150      | Active
747      | Chandrapur                 | 19.9615  | 79.2961   | 180      | Active
748      | Kolhapur                   | 16.7050  | 74.2433   | 250      | Active
749      | Sangli                     | 16.8524  | 74.5815   | 220      | Active
750      | Satara                     | 17.6805  | 74.0183   | 180      | Active
