ProductID | StockQuantity | ReorderLevel | WarehouseID
101       | 25            | 10           | 301
102       | 50            | 15           | 301
103       | 80            | 20           | 302
104       | 12            | 5            | 302
105       | 18            | 8            | 303
106       | 30            | 10           | 304
107       | 45            | 15           | 301
108       | 20            | 5            | 303
109       | 16            | 5            | 303
110       | 35            | 10           | 302
111       | 100           | 30           | 301
112       | 40            | 15           | 304
113       | 8             | 5            | 304
114       | 14            | 5            | 304
115       | 10            | 4            | 303
116       | 6             | 3            | 303
117       | 25            | 8            | 302
118       | 22            | 8            | 304
119       | 18            | 5            | 303
120       | 12            | 5            | 302
